microaneurysmcount,countvalue
image010_microaneurysm.jpg,1235
image008_microaneurysm.jpg,1031
image007_microaneurysm.jpg,1717
image002_microaneurysm.jpg,167
image013_microaneurysm.jpg,2366
image015_microaneurysm.jpg,2993
image001_microaneurysm.jpg,272
image016_microaneurysm.jpg,1868
image014_microaneurysm.jpg,737
image009_microaneurysm.jpg,118
image012_microaneurysm.jpg,165
image003_microaneurysm.jpg,377
image006_microaneurysm.jpg,788
image005_microaneurysm.jpg,1226
image004_microaneurysm.jpg,147
image011_microaneurysm.jpg,2734
